"ID","area_pq","cd_coord_x","cd_coord_y"
239,1419473.69,337983.564910714,7410299.99232143
240,1155537.44,354319.288658537,7389814.51154472
242,66194.25,348126.649285714,7387424.20285714
243,720885.73,358369.382222222,7393224.20444444
244,116147.03,321392.56,7379069.82428571
245,67365.49,336982.225517241,7384644.19413793
246,74295.46,319708.498947368,7389507.53315789
248,994929.38,331684.114,7377113.67088
249,289347.28,353526.83875,7388733.86107143
250,9550.65,318002.936666667,7383027.33
251,241859.55,322936.5904,7401115.3876
253,110984.15,354448.595714286,7397497.18142857
255,22619.16,325055.35,7390414.16
256,2662748.94,327203.088870308,7405932.73725736
262,330132.52,316565.28532228,7389932.10298053
263,8258.91,325854.81,7384516.04
264,238332.81,356776.761518987,7399167.96632911
266,41245.52,349345.53,7397495.0675
267,1116705.66,327317.019466463,7370874.3646385
278,22948.99,330163.569166667,7378264.64666667
280,25012.46,347405.665,7387292.89
281,275942.09,353735.955297619,7385323.57797619
285,599243.54,325666.743777778,7403855.258
286,2481579.55,356188.719081534,7386783.58598292
288,8534058,319375.424676617,7352330.51328358
289,117540.58,320545.071428571,7378547.00071429
290,6234464.13,319704.94704918,7373911.92989071
291,146265.39,339097.18826087,7399905.22826087
295,88477.51,316984.149714286,7389369.93314286
296,637384.93,348387.384142012,7398641.01420118
297,148582.24,325071.781526611,7378283.99207983
308,143459.02,343215.45875,7396811.234375
309,22138.45,324253.39,7385740.62
310,4675.15,337431.15,7394289.38
311,11065.04,352195.0225,7396130.0675
312,4260583.02,336059.485759615,7407131.55769231
316,180355.13,341308.411538462,7390687.01230769
344,486848.96,350514.871666667,7387178.31087719
357,148193.38,345731.949166667,7391633.23
358,157414.82,358726.857659574,7400967.43191489
359,428783.78,334507.350789474,7405894.1181579
360,267129.05,360078.1272,7400847.5088
361,7057.04,328114.9,7382133.37
365,309485.64,323201.630392157,7366787.78215686
366,136442.76,328577.635671642,7371410.73552239
367,163387.28,321940.682903226,7385620.03774194
374,25334.94,341409.725,7388663.09
375,61962.8,331219.516666667,7400926.05888889
376,11794837.29,326893.323744292,7361165.58490868
386,10263.38,328074.56,7383835.06
387,1528128.03,325442.793295455,7407925.72511364
