"parque_id","nome_parque","classificacao_area_verde","area_m2","categoria_area_verde"
175,"ECOLOGICO CENTRAL ITAIM FASE 2","Parque Municipal Proposto: em Implantação",10635.82,"Urbano"
176,"INDEPENDENCIA AMPLIACAO","Parque Municipal Proposto: em Implantação",117720.95,"Urbano"
177,"INDEPENDENCIA","Parque Municipal Existente",91030.21,"Urbano"
178,"JABOTICABAL","Parque Municipal Proposto: em Planejamento",67365.49,"Linear"
179,"LAJEADO - IZAURA PEREIRA DE SOUZA FRANZOLIN","Parque Municipal Existente",14215.29,"Urbano"
180,"LINEAR GUARATIBA FASE 1","Parque Municipal Existente",22280.79,"Linear"
181,"CHABILANDIA","Parque Municipal Proposto: em Planejamento",21698.25,"Urbano"
182,"GUAIANASES COHAB JUSCELINO","Parque Municipal Proposto: em Planejamento",720885.73,"a definir"
183,"LAJEADO - STA ETELVINA","Parque Municipal Proposto: em Planejamento",110984.15,"Urbano"
184,"LINEAR GUARATIBA CENTRAL GUAIANASES","Parque Municipal Proposto: em Planejamento",170261.1,"Linear"
185,"LINEAR GUARATIBA PISCINAO SAO MATEUS","Parque Municipal Proposto: em Planejamento",157874,"Linear"
186,"LINEAR GUARATIBA","Parque Municipal Proposto: em Implantação",41573.2,"Linear"
187,"LINEAR DO CORREGO DO BANANAL/CANIVETE FASE 1","Parque Municipal Existente",54508.17,"Urbano"
188,"LINEAR CORREGO BANANAL","Parque Municipal Proposto: em Planejamento",143309.49,"Linear"
189,"MORRO GRANDE","Parque Municipal Proposto: em Planejamento",599243.54,"Urbano"
190,"LINEAR CORREGO BANANAL  ITAGUACU","Parque Municipal Proposto: em Implantação",1325666.17,"Linear"
191,"SERRA DA CANTAREIRA","Parque Estadual de Proteção Integral",42247363.07,"Proteção Integral"
192,"ERMELINO MATARAZZO (DOM PAULO EVARISTO ARNS)","Parque Municipal Existente",5593.85,"Urbano"
193,"LINEAR MONGAGUA","Parque Municipal Existente",52388.74,"Linear"
194,"CONSCIENCIA NEGRA","Parque Municipal Existente",118469.35,"Linear"
195,"DA CIENCIA","Parque Municipal Existente",171229.21,"Urbano"
196,"VILA DO RODEIO","Parque Municipal Existente",620453.27,"Urbano"
197,"MATA SETE CRUZES","Parque Municipal Proposto: em Implantação",893418.22,"Urbano"
198,"SETE CAMPOS","Parque Municipal Existente",83187.71,"Linear"
199,"ATERRO ITATINGA","Parque Municipal Proposto: em Planejamento",441256.42,"Urbano"
200,"JARDIM APURA","Parque Municipal Proposto: em Planejamento",994929.38,"Urbano"
201,"MAR PAULISTA FASE 1","Parque Municipal Proposto: em Planejamento",4006.22,"Linear"
202,"MAR PAULISTA FASE 2","Parque Municipal Proposto: em Planejamento",18942.77,"Linear"
203,"SITIO MORRINHOS","Parque Municipal Proposto: em Implantação",46040.23,"Urbano"
204,"VILA ESTER (SITIO NIASI CHOFI)","Parque Municipal Proposto: em Planejamento",61962.8,"Urbano"
