"ID","nome_pq","class_area_verde","categoria_area_verde","area_pq","cd_coord_x","cd_coord_y"
180,"SAPOPEMBA (ATERRO)","Parque Municipal Existente","Urbano",267713.94,351671.940588235,7386495.57411765
180,"SAPOPEMBA (ATERRO) FASE II","Parque Municipal Proposto: em Implantação","a definir",64574.26,351668.437142857,7386160.28857143
181,"SENA","Parque Municipal Existente","Urbano",27789.16,335812.72,7404325.725
182,"SENHOR DO VALE","Parque Municipal Existente","Urbano",23560.77,322567.63,7406141.74
184,"SETE CAMPOS","Parque Municipal Existente","Linear",83187.71,332306.022777778,7378507.59388889
185,"SEVERO GOMES","Parque Municipal Existente","Urbano",26795.72,325854.81,7384516.04
188,"SHANGRILA","Parque Municipal Existente","Urbano",69371.86,330401.496153846,7371230.44769231
190,"TENENTE BRIGADEIRO ROBERTO FARIA LIMA","Parque Municipal Existente","Urbano",39119.2,340228.69,7399128.73
190,"TENENTE SIQUEIRA CAMPOS","Parque Municipal Existente","Urbano",36291.86,330886.4775,7393224.62
193,"TROTE","Parque Municipal Existente","Urbano",54811.69,337015.314444444,7398899.87777778
194,"VICTOR CIVITTA","Parque Municipal Existente","Urbano",13841.14,326343.847692308,7393008.26307692
195,"VILA DO RODEIO","Parque Municipal Existente","Urbano",620453.27,356433.846190476,7392217.50880952
195,"VILA DOS REMEDIOS","Parque Municipal Existente","Urbano",104330.81,321287.728,7398537.548
197,"VILA GUILHERME","Parque Municipal Existente","Urbano",85076.06,336957.784666667,7398761.29
198,"VILA JACUI (JARDIM PRIMAVERA) FASE 1","Parque Municipal Existente","Linear",27303.12,350956.618,7400168.714
198,"VILA JACUI (JARDIM PRIMAVERA) FASE 2","Parque Municipal Proposto: em Implantação","Urbano",127447.08,350883.933846154,7399970.21153846
198,"VILA JACUI (JARDIM PRIMAVERA) FASE 3","Parque Municipal Proposto: em Implantação","Linear",18130.12,351020.57,7400361.58
199,"VILA SILVIA FASE 1","Parque Municipal Existente","Urbano",6397.19,346526,7400957.71
200,"ZILDA ARNS (NILO COELHO/JARDIM SAPOPEMBA) FASE 1","Parque Municipal Existente","Urbano",44021.27,347647.787222222,7388532.815
200,"ZILDA ARNS (NILO COELHO/JARDIM SAPOPEMBA) FASE 2","Parque Municipal Existente","Linear",236795.44,345683.819651163,7388986.65825581
202,"ZILDA NATEL","Parque Municipal Existente","Urbano",2313.11,328910.785,7394447.875
204,"ANHANGUERA","Parque Municipal Existente","Urbano",9166880.02,317850.231046512,7409341.85697674
204,"ANHANGUERA AMPLIACAO_1","Parque Municipal Proposto: em Planejamento","Urbano",169432.08,318896.955263158,7409063.42052632
204,"ANHANGUERA AMPLIACAO_2","Parque Municipal Proposto: em Planejamento","Urbano",263481.25,317614.530833333,7409535.27833333
205,"ANHANGUERA CICLOVIA DE PERUS","Parque Municipal Proposto: em Planejamento","Ciclovia",186089.97,318773.22,7409211.835
207,"ANTONIO INOCENCIO DE SOUZA","Parque Municipal Proposto: em Planejamento","Linear",104689.77,320891.749615385,7402900.62923077
209,"APA DO IGUATEMI","Parque Municipal Proposto: em Planejamento","Urbano",295637.63,355115.673636364,7392235.68181818
210,"MANANCIAIS PAULISTANOS ARAGUAVA","Parque Municipal Proposto: em Planejamento","Natural",2582510.37,322330.30887931,7368319.98646552
212,"ATERRO BANDEIRANTES","Parque Municipal Proposto: em Planejamento","Urbano",1532319.47,320290.236504065,7408904.44382114
213,"ATERRO ITATINGA","Parque Municipal Proposto: em Planejamento","Urbano",441256.42,332982.106071429,7378575.62464286
214,"AVENIDA VILA EMA","Parque Municipal Proposto: em Planejamento","Urbano",17230.79,340634.1,7391384.64
215,"BARROCADA","Parque Municipal Proposto: em Planejamento","Urbano",2181453.97,339517.958024691,7411085.13654321
220,"MANANCIAIS PAULISTANOS BILLINGS","Parque Municipal Proposto: em Planejamento","Natural",1615403.32,332627.555517241,7368976.32390805
222,"BORDA DA CANTAREIRA NUCLEO JULIAO FAGUNDES","Parque Municipal Proposto: em Planejamento","Urbano",450318.74,336729.635744681,7407717.25255319
223,"CAGUACU (PARQUE DAS FLORES)","Parque Municipal Proposto: em Planejamento","Linear",8286.39,352607.392,7384769.934
227,"CAMPO DA PRIMAVERA","Parque Municipal Proposto: em Planejamento","Urbano",6781.23,344382.27,7390648.91
228,"CARMO EXPANSAO","Parque Municipal Proposto: em Planejamento","Urbano",902414.32,349545.3212,7391421.254
229,"MANANCIAIS PAULISTANOS CASTANHEIRAS","Parque Municipal Proposto: em Planejamento","Natural",2897262.57,331881.656818182,7364775.88893939
230,"CAVAS DE OURO","Parque Municipal Proposto: em Planejamento","Urbano",415204.52,316370.208333333,7406806.3825
231,"CEMITERIO VILA FORMOSA","Parque Municipal Proposto: em Planejamento","Urbano",398650.69,344120.500344828,7393171.40413793
232,"CHABILANDIA","Parque Municipal Proposto: em Planejamento","Urbano",21698.25,355907.7975,7396933.0325
233,"CHACARA DO JOCKEY","Parque Municipal Proposto: em Planejamento","Urbano",146089.27,321948.2025,7389075.89083333
234,"CHARQUE GRANDE","Parque Municipal Proposto: em Planejamento","Linear",13762.04,322201.8575,7388579.925
235,"COLONIAL","Parque Municipal Proposto: em Planejamento","Linear",190226.11,349660.187142857,7388962.02321429
236,"DA FONTE","Parque Municipal Proposto: em Planejamento","Urbano",35636.71,324532.103333333,7391972.75
237,"EMBU MIRIM FASE 1","Parque Municipal Proposto: em Planejamento","Natural",2159390.79,317505.627466667,7375834.54966667
237,"EMBU MIRIM FASE 2","Parque Municipal Proposto: em Planejamento","Natural",1107252.67,317484.328318584,7378111.83995575
239,"ENGORDADOR","Parque Municipal Proposto: em Planejamento","Urbano",1419473.69,337983.564910714,7410299.99232143
240,"EXPANSAO NASCENTES DO ARICANDUVA","Parque Municipal Proposto: em Planejamento","Linear",1155537.44,354319.288658537,7389814.51154472
242,"FAZENDA DA JUTA","Parque Municipal Proposto: em Planejamento","Urbano",66194.25,348126.649285714,7387424.20285714
243,"GUAIANASES COHAB JUSCELINO","Parque Municipal Proposto: em Planejamento","a definir",720885.73,358369.382222222,7393224.20444444
244,"GUAVIRITUBA","Parque Municipal Proposto: em Planejamento","Linear",116147.03,321392.56,7379069.82428571
245,"JABOTICABAL","Parque Municipal Proposto: em Planejamento","Linear",67365.49,336982.225517241,7384644.19413793
246,"JACAREZINHO","Parque Municipal Proposto: em Planejamento","Linear",74295.46,319708.498947368,7389507.53315789
248,"JARDIM APURA","Parque Municipal Proposto: em Planejamento","Urbano",994929.38,331684.114,7377113.67088
249,"JARDIM DAS LARANJEIRAS","Parque Municipal Proposto: em Planejamento","Linear",289347.28,353526.83875,7388733.86107143
250,"JARDIM MACEDONIA","Parque Municipal Proposto: em Planejamento","Urbano",9550.65,318002.936666667,7383027.33
251,"JARDIM SANTO ELIAS","Parque Municipal Proposto: em Planejamento","a definir",241859.55,322936.5904,7401115.3876
253,"LAJEADO - STA ETELVINA","Parque Municipal Proposto: em Planejamento","Urbano",110984.15,354448.595714286,7397497.18142857
255,"LINEAR CAXINGUI","Parque Municipal Proposto: em Planejamento","Linear",22619.16,325055.35,7390414.16
256,"LINEAR CORREGO BANANAL","Parque Municipal Proposto: em Planejamento","Linear",143309.49,327424.206037736,7405608.47641509
256,"LINEAR CORREGO BANANAL  ITAGUACU","Parque Municipal Proposto: em Implantação","Linear",1325666.17,328388.035897436,7406030.81012821
256,"LINEAR DO CORREGO DO BANANAL/CANIVETE FASE 1","Parque Municipal Existente","Urbano",54508.17,326320.916470588,7405855.87588235
256,"LINEAR DO CORREGO DO BANANAL/CANIVETE FASE 2","Parque Municipal Proposto: em Implantação","Linear",1139265.11,326679.197075472,7406235.78660377
262,"LINEAR ITAIM","Parque Municipal Proposto: em Planejamento","Linear",58942.8,316183.448421053,7389087.73157895
262,"LINEAR ITAIM AMPLIACAO FASE2","Parque Municipal Proposto: em Planejamento","Linear",79671.87,315942.228571429,7390042.57428571
262,"LINEAR ITAIM AMPLIACAO FASE3","Parque Municipal Proposto: em Planejamento","Linear",191517.85,317570.178974359,7390666.00307692
263,"LINEAR JUDAS","Parque Municipal Proposto: em Planejamento","Linear",8258.91,325854.81,7384516.04
264,"LINEAR LAJEADO II","Parque Municipal Proposto: em Planejamento","Linear",238332.81,356776.761518987,7399167.96632911
266,"LINEAR NASCENTES DO CORREGO PONTE RASA","Parque Municipal Proposto: em Planejamento","Linear",41245.52,349345.53,7397495.0675
267,"LINEAR RIBEIRAO COCAIA","Parque Municipal Proposto: em Planejamento","Linear",1025102.92,327763.555365854,7371673.06676829
267,"LINEAR RIBEIRAO COCAIA - CHACARA TANAY","Parque Municipal Proposto: em Implantação","Linear",48826.23,327747.9275,7370650.8475
267,"LINEAR RIBEIRAO COCAIA - NUCLEO CHACARA DO CONDE","Parque Municipal Proposto: em Implantação","Linear",18197.93,326706.31,7370399.82
267,"LINEAR RIBEIRAO COCAIA - OPCAO BRASIL","Parque Municipal Proposto: em Implantação","Linear",24578.58,327050.285,7370773.72428571
278,"MAR PAULISTA FASE 1","Parque Municipal Proposto: em Planejamento","Linear",4006.22,330290.69,7378277.7
278,"MAR PAULISTA FASE 2","Parque Municipal Proposto: em Planejamento","Linear",18942.77,330036.448333333,7378251.59333333
280,"MASCARENHAS DE MORAES","Parque Municipal Proposto: em Planejamento","Urbano",25012.46,347405.665,7387292.89
281,"MORRO DO CRUZEIRO FASE 1 A","Parque Municipal Proposto: em Planejamento","Urbano",7267.92,353595.4,7385486.23
281,"MORRO DO CRUZEIRO FASE 1 B","Parque Municipal Proposto: em Planejamento","Urbano",6222.14,353754.935,7385482.295
281,"MORRO DO CRUZEIRO FASE 2 A","Parque Municipal Proposto: em Planejamento","Urbano",58246.1,353840.273333333,7385430.32333333
