"ID","classe_11","classe_13","classe_14","classe_7","classe_8","classe_9","classe_5","classe_15","classe_2","classe_3","classe_10","classe_12","classe_1","classe_4","classe_6"
207,3387820101,10246332694,70452819,NA,NA,1660029110,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,6426814118,34595275574,31797356,NA,NA,NA,NA,1693795339,145735534360,1274174417,NA,NA,NA,NA,NA
210,73222716584,78104169568,32568245017,1487948970,NA,10741507568,NA,3779675024,112689779859,34518017679,1218159522,15064090532,NA,NA,NA
212,80610460556,45307199255,3405732586,NA,NA,2283279642,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,5075422317,5620762511,143331665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,1711054746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,51174677994,85708243215,462720243,6492769249,NA,16050686090,9032836854,20087134147,159640209066,9392831681,8188329633,404190603,891661358386,NA,NA
220,131050924467,79602422236,2992368061,4966962943,1453549736,25889855750,633138618,75476474439,17829146439,5852635073,1992215454,694048205,NA,NA,NA
222,20923250265,66467869889,1333454354,1146667498,NA,13980965056,NA,NA,6496007170,NA,NA,703880133,NA,NA,NA
223,56778980,1222640972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,NA,67378092,13155217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,18050966811,7133626879,277535568,NA,NA,2853294629,NA,121474628036,113608120571,29817578355,1844797377,433098178,NA,NA,NA
229,27722734694,76731214907,NA,8689473396,977238514,NA,894517601,250629779753,97510071416,34205014486,3502939353,306999621,35031961494,NA,NA
230,22268452875,20037751366,15852327,NA,NA,12528900454,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,2918173209,39058295567,1331122741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,161317664,618116058,35451958,NA,NA,NA,NA,NA,NA,NA,NA,103276508,NA,NA,NA
233,2119282536,9271909592,11194372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,74016303,3127991904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,16563343827,1709962291,124494935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,1410928785,2493210583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
